id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49609856,Welcoming Flat in Grünerløkka (50m2),48942435,Enrico,,Grünerløkka,59.92628,10.76781,Entire home/apt,964,4,32,2022-09-10,2.22,1,0,25,
49634959,Sjarmerende hybel i nydelig bakgårdshus på Tøyen,5974240,Øystein,,Gamle Oslo,59.9154,10.77169,Entire home/apt,790,3,67,2022-09-20,4.51,1,103,53,
49646062,Apartment in the very citycentre of Oslo,400105854,Karl,,St. Hanshaugen,59.915173,10.753604,Entire home/apt,790,3,3,2022-08-03,0.20,1,3,2,
49650658,Classy 65m2 apartment at pulsating Grünerløkka,134568419,Thor Egil,,Grünerløkka,59.9292,10.76417,Entire home/apt,1050,5,15,2022-09-12,0.97,1,288,13,
49653710,"Super central apartment with large, sunny terrace.",333735308,Kristine Eufemia,,Gamle Oslo,59.91414,10.76247,Entire home/apt,1600,2,2,2021-07-04,0.13,1,0,0,
49661161,Hyggelig leilighet sentralt i Oslo sentrum,111608125,Arnstein,,Gamle Oslo,59.90961,10.76353,Entire home/apt,1390,3,30,2022-09-17,4.17,1,307,30,
49666821,Apartment in Grunerløkka(downtown Oslo),250360855,Aslak,,Grünerløkka,59.92311,10.75929,Entire home/apt,2500,2,9,2022-09-16,0.59,2,0,8,
49687385,Unique exclusive seaside apartment in Oslo city,77121820,Anna,,Gamle Oslo,59.90159,10.75109,Entire home/apt,7800,3,0,,,1,0,0,
49700686,"Leilighet, landlig og sentralt. WIFI",400854931,Christian,,Frogner,59.90435,10.68832,Entire home/apt,900,2,47,2022-09-18,2.88,1,148,36,
49710554,Romslig leilighet sentralt i Oslo,12834403,Hilde,,Grünerløkka,59.93124,10.77774,Entire home/apt,900,2,5,2022-09-04,0.31,1,0,3,
49743097,Lys og lekker leilighet ved Blindern,34248533,Elise,,Vestre Aker,59.9398,10.7108,Entire home/apt,2900,2,0,,,1,0,0,
49745426,3-roms med solrik balkong sentralt på Grünerløkka,401192910,Jasmine,,Grünerløkka,59.92004,10.76291,Entire home/apt,3500,2,6,2022-08-15,0.42,2,327,5,
49750438,Stor toppleilighet med balkong og gode solforhold!,401132858,Herman,,Nordre Aker,59.95326,10.77435,Entire home/apt,1250,2,9,2022-08-21,0.62,1,0,7,
49755044,CamperNomad,216191848,Yasin,,Alna,59.92606,10.86234,Entire home/apt,1200,1,1,2022-04-17,0.19,1,360,1,
49773490,Leilighet i Oslo med balkong,13055351,Ragnhild,,Grünerløkka,59.92937,10.79225,Entire home/apt,700,2,12,2021-11-21,0.78,1,0,8,
49787344,Comfy & central apartment in Oslo with artsy vibes,16352083,Sajad,,St. Hanshaugen,59.91585,10.75198,Private room,600,1,10,2021-10-03,0.67,1,0,3,
49794279,Spacious design apartment 2 stops from Oslo S,9558505,Ida,,Gamle Oslo,59.91339,10.77524,Entire home/apt,1500,2,6,2022-08-29,0.41,1,44,5,
49810498,Apartment with views and central location,36141828,Preben,,Gamle Oslo,59.90783,10.77844,Entire home/apt,2000,2,0,,,1,0,0,
49813037,Family friendly house in the city!,20067690,Wenche,,Grünerløkka,59.92636,10.78808,Entire home/apt,2900,4,3,2022-08-01,0.21,1,143,1,
49820811,Tiny cozy house,90577180,Ingeborg Og Grete,,Gamle Oslo,59.91306,10.77917,Entire home/apt,580,6,10,2021-10-11,0.62,1,0,2,
49867262,Liten sjarmerende leilighet,381590509,Adel,,Nordstrand,59.85651,10.80073,Entire home/apt,900,3,7,2022-09-02,0.44,1,341,4,
49897029,Ny leilighet 15 min fra Oslo s med nærhet til alt,17100695,Ann-Kristin,,Stovner,59.92201,10.94726,Entire home/apt,1850,5,2,2021-09-12,0.12,1,359,0,
49900773,Cozy apartment in the heart of Oslo,7849033,Henriette Hope,,Grünerløkka,59.923676,10.760602,Entire home/apt,3000,2,13,2022-08-26,0.83,1,33,3,
49903739,Unique large town villa | Private garden & parking,33749821,Linda,,St. Hanshaugen,59.92767,10.73948,Entire home/apt,1590,7,4,2022-07-24,0.27,1,2,3,
49904799,Villa Olsenlund,175322840,Mikkel Are,,Frogner,59.90188,10.67246,Entire home/apt,4000,3,0,,,2,0,0,
49936601,Specious Penthouse  Grünerløkka,11100355,Ellen,,Grünerløkka,59.92785,10.76161,Entire home/apt,1900,3,4,2021-08-22,0.28,2,2,0,
49937531,Central apartment located at St. Hanshaugen,340902281,Nora Klubben,,St. Hanshaugen,59.92051,10.74074,Entire home/apt,1000,4,6,2022-07-27,0.67,1,0,6,
49976571,Lys og moderne 3 roms leilighet,367379501,Erik,,Bjerke,59.94255,10.81595,Entire home/apt,1000,4,6,2022-07-26,0.46,1,0,3,
49977045,"Lys, åpen, nyoppusset og modern leilighet",15133599,Joakim,,Grünerløkka,59.91926,10.76528,Entire home/apt,1286,2,19,2022-07-31,1.23,1,100,13,
49991842,Leilighet rett ved Bogstadveien leies ut,54438652,Thea Lidi,,Frogner,59.92461,10.72366,Entire home/apt,1500,1,4,2022-07-03,0.26,2,0,1,
49992039,Fin loftsleilighet med solrik takterrasse,903695,Cici,,St. Hanshaugen,59.92897,10.7486,Entire home/apt,1000,56,5,2021-12-12,0.34,1,22,1,
49992692,Privat rom til leie på Majorstuen,54438652,Thea Lidi,,Frogner,59.92661218575009,10.725045788939097,Private room,1000,1,0,,,2,340,0,
50002039,Large modern apartment in the heart of Oslo,402399521,Phillip,,Frogner,59.92768,10.71006,Entire home/apt,2990,2,14,2022-08-14,0.97,1,354,13,
50018911,Lys og Luftig leilighet med god utsikt sentralt,61962852,Niko,,Gamle Oslo,59.90726,10.78144,Entire home/apt,1450,3,4,2022-08-06,1.45,1,1,4,
50018915,Perfekt familieleilighet 15 min fra Oslo Sentrum,137140320,Jan Henrik,,Bjerke,59.9395,10.82723,Entire home/apt,900,3,7,2022-08-12,0.48,1,0,4,
50029310,Koselig leilighet midt på Grunerløkka,10279979,Lotte,,Sagene,59.92941,10.75921,Entire home/apt,649,20,0,,,1,15,0,
50029459,Modern apartment with central location,11291546,Sara,,Grünerløkka,59.9254,10.77459,Entire home/apt,950,1,11,2022-08-21,1.84,1,274,11,
50048649,Leilighet i toppetasje med balkong,20159259,Ivar,,St. Hanshaugen,59.92604,10.74627,Entire home/apt,1700,7,5,2021-10-23,0.32,1,0,1,
50048911,Et perfekt utgangspunkt for å oppleve Oslo,40272740,Ivar,,St. Hanshaugen,59.92896,10.73466,Entire home/apt,1050,7,0,,,1,0,0,
50049108,"Newly renovated, high standard in Frogner/Briskeby",28650232,Marianne,,Frogner,59.91952,10.71598,Entire home/apt,1440,3,27,2022-09-04,2.06,1,159,25,
50059587,In the heart of Oslo,111236849,Grete,,Sentrum,59.91139,10.74515,Entire home/apt,1200,3,37,2022-01-02,2.34,1,0,20,
50061833,Apartment in central Oslo,399323935,Martine,,Frogner,59.925,10.72081,Entire home/apt,800,2,15,2022-08-04,0.96,1,25,8,
50068580,Enebolig på Røa i rolige omgivelser,403868870,Carl Gustaf,,Vestre Aker,59.94557,10.63962,Entire home/apt,3000,2,8,2022-07-31,0.54,1,0,5,
50069829,Separat room for guest,403880097,Ali,,Gamle Oslo,59.9118,10.75933,Private room,419,1,38,2022-08-17,2.38,1,0,36,
50075606,"Modern top floor -  2 bedroom - Balcony, sun 11-22",23960496,Robin,,Frogner,59.9138658,10.724924,Entire home/apt,2085,2,11,2022-09-20,5.59,1,326,11,
50076335,Koselig toppleilighet med brannbalkong og utsikt,82216829,Hanne,,Sagene,59.93322,10.76656,Entire home/apt,1300,2,12,2022-09-19,0.77,1,306,7,
50080800,Sentralt med balkong Oslo sentrum vest,19436134,Tom,,Frogner,59.92021,10.73056,Entire home/apt,1400,7,0,,,1,229,0,
