id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53176021,La Maison Rome,91652812,Roberto,,VIII Appia Antica,41.867477,12.491021,Entire home/apt,80,2,5,2022-03-28,0.50,4,244,5,
53061753,NEW opening! Luxury Apt |3bedroom | Colosseum View,429537391,Andrea,,I Centro Storico,41.89557,12.49029,Entire home/apt,429,4,26,2022-08-08,3.13,1,285,26,
52952510,Nuances the Colosseum Apartment,428690630,Anna Maria,,I Centro Storico,41.88817,12.49513,Entire home/apt,230,2,25,2022-09-01,2.95,1,304,25,
53183472,Fleming Design Loft,430533696,Francesca,,XV Cassia/Flaminia,41.94377,12.47375,Entire home/apt,244,4,2,2022-07-21,0.57,1,57,2,
52957340,"INTERA CASA 6posti letti,3bagni (TERMINI,COLOSSEO)",277153531,Guest House Aria Bixio,,I Centro Storico,41.89341,12.50795,Entire home/apt,249,5,0,,,5,296,0,
52960291,Stanza da Ale&Ele (nel cuore verde di San Lorenzo),208482335,Alessandro,,II Parioli/Nomentano,41.89653,12.51379,Private room,48,13,0,,,3,0,0,
53062575,WRH Termini connecting rooms 2 bathrooms 5 people,429395436,Andrea,,I Centro Storico,41.90195,12.50631,Private room,216,1,0,,,9,340,0,
53184980,Stanza privata con bagno privato di design !,20968125,Patrizio,,I Centro Storico,41.88977,12.51451,Private room,40,1,2,2021-11-29,0.19,21,0,2,
53063032,Tocca Fiori Vaticano the spacious apartment,262950148,Marina,,I Centro Storico,41.90334,12.44611,Entire home/apt,317,3,0,,,2,358,0,
52963016,PATTI E ROBI LUXURY APARTMENT AT SAN PIETRO,28329718,Patti & Robi,,I Centro Storico,41.907211,12.467252,Entire home/apt,110,3,48,2022-09-09,4.86,2,257,48,ID ABITAZIONE 15875 QA/2021/34842  DEL 12/11/2021
53188946,INTERO APPARTAMENTO NEL CUORE DI ROMA 5★ METRO A,430578090,Federica,,VII San Giovanni/Cinecittà,41.88388,12.51461,Entire home/apt,75,2,60,2022-09-08,5.94,1,152,60,QA/2021/31880;CIR ID  15995
53070482,Casa familiare a Centocelle,89814043,Marilena,,V Prenestino/Centocelle,41.88099,12.55841,Private room,40,1,0,,,1,344,0,
53070917,Vatican Dome View Apartment,14828708,Marco,,XIII Aurelia,41.89524,12.44942,Entire home/apt,193,3,32,2022-07-27,3.06,8,37,32,
53188968,Meraviglioso Appartamentino seminterrato,78156613,Mauro,,XIII Aurelia,41.90061,12.38707,Entire home/apt,70,2,3,2022-04-24,0.58,1,38,3,
52963570,Saint Peter’s Place via Catone (Vatican) Rome,428790321,Giorgio,,I Centro Storico,41.907734,12.458982,Entire home/apt,200,2,14,2022-09-10,1.42,1,43,14,
53190088,New Opening! Lovely Terrace in Trastevere,406410872,Andrea,,I Centro Storico,41.88724,12.4759,Entire home/apt,223,2,9,2022-08-06,2.13,3,324,9,
52963648,DESIGNER ATTIC - MONTI,192894976,Oliviero,,I Centro Storico,41.89607,12.49763,Entire home/apt,126,4,16,2022-08-17,1.75,2,74,16,
53192596,LE 4 A,430611981,Antonella,,XV Cassia/Flaminia,41.996838,12.494275,Entire home/apt,70,1,56,2022-09-03,5.60,1,334,56,QA/2021/32266
53286475,Deluxe Apartment with Outdoor Space,8383535,Luca,,I Centro Storico,41.90421,12.48653,Entire home/apt,212,1,1,2022-05-31,0.29,10,321,1,
53286606,ELICAL Exclusive Private Suites,196775325,Giuseppe,,I Centro Storico,41.90156,12.48216,Private room,800,2,3,2022-08-06,1.14,3,152,3,
53072513,Touristic location very close to the center,429628966,Cesira Anna Santoro - Alessia,,I Centro Storico,41.90844,12.49477,Private room,109,29,0,,,1,358,0,
53193244,Your home only a few steps from piazza Navona,4260943,Nelly,,I Centro Storico,41.897472,12.470791,Entire home/apt,150,1,18,2022-07-10,2.13,1,99,18,
53084397,Amazing Studio Next To Metro & University,4752342,Naor,,IV Tiburtina,41.9071,12.5368,Entire home/apt,71,2,9,2022-09-04,3.18,1,327,9,
53086292,Brand new apartment 4 people great rates Termini,429395436,Andrea,,I Centro Storico,41.89593,12.49981,Entire home/apt,132,2,4,2022-07-08,0.40,9,292,4,
53286838,"""Chéri de Rome"" Vatican Apartment",142374062,Donatella,,I Centro Storico,41.90044,12.46185,Entire home/apt,135,1,7,2022-08-19,0.73,3,267,7,
53194714,Vatican Cozy apt. with balcony near S. Peter,430628164,Fiorella,,XIII Aurelia,41.89555,12.45582,Entire home/apt,198,3,2,2022-03-21,0.31,1,315,2,Scia QA/2020/38853 del 14/10/2020
53287931,Ecce Roma - Camera Privata per 2 persone,418088677,Daniele,,I Centro Storico,41.89992,12.49842,Private room,141,1,181,2022-08-28,20.26,9,199,181,
53288623,Daniele Manin Guesthouse-Camera con bagno privato,418088677,Daniele,,I Centro Storico,41.8998,12.49806,Private room,125,1,11,2022-08-28,1.34,9,248,11,
53198372,Appartamento delizioso a due passi da San Pietro,430660215,Francesco,,I Centro Storico,41.90926,12.45977,Entire home/apt,100,1,41,2022-09-11,4.06,1,284,41,
53288985,VATICAN COZY APARTMENT - GIULIANA,205228808,Spaghetti,,I Centro Storico,41.91282,12.45456,Entire home/apt,128,1,0,,,12,5,0,
53289014,Testaccio & Piazza Liberatrice Apartment,96122546,Welcome To Our Holiday Homes,,I Centro Storico,41.879967,12.475551,Entire home/apt,148,2,8,2022-07-17,1.21,141,322,8,
53086908,Ground floor budget apartment perfect for couples,429395436,Andrea,,I Centro Storico,41.89611,12.49824,Entire home/apt,100,2,2,2022-07-03,0.38,9,299,2,
53087342,2 bedroom home with Villa Borghese park view.,429758128,Katy Louise,,II Parioli/Nomentano,41.91017,12.49065,Entire home/apt,250,30,17,2022-08-28,1.99,1,33,17,
53198473,Incredibly Spacious Old-meets-New in Medieval Rome,3943897,Joseph,,I Centro Storico,41.8914,12.47071,Entire home/apt,159,1,39,2022-09-10,3.94,5,47,39,
53087512,Stunning apartment with roof terrace Vatican area,429395436,Andrea,,I Centro Storico,41.9056,12.44624,Entire home/apt,99,2,14,2022-08-15,1.49,9,264,14,
53199481,A&M Casa Vacanze(Per 4 persone),430671359,Alessia,,II Parioli/Nomentano,41.91115,12.52045,Entire home/apt,200,2,3,2022-06-03,0.35,1,0,3,3286877157
53199894,Booking House (room112),18865053,Jonathan,,I Centro Storico,41.90546,12.49846,Private room,112,1,5,2022-08-02,0.49,7,91,5,
53289447,Manin Suites - Camera privata per 2 persone,418088677,Daniele,,I Centro Storico,41.89802,12.49946,Private room,129,1,76,2022-08-22,8.48,9,303,76,
53200021,Booking House (room 111),18865053,Jonathan,,I Centro Storico,41.9055,12.49857,Private room,138,1,3,2022-05-15,0.30,7,93,3,
53087833,A very beautiful ground floor apartment 5 people,429395436,Andrea,,I Centro Storico,41.89516,12.50236,Entire home/apt,169,2,7,2022-08-05,1.13,9,272,7,
53200117,Booking House (room 114),18865053,Jonathan,,I Centro Storico,41.90536,12.4985,Private room,90,1,0,,,7,87,0,
53089374,Musei Vaticani Holidays,341852870,Veronica,,I Centro Storico,41.90881,12.45438,Entire home/apt,136,2,10,2022-06-19,1.04,2,182,10,
53206030,Sweet room,42256726,Vladislav,,XII Monte Verde,41.87612,12.46795,Entire home/apt,44,1,0,,,1,0,0,
53289571,Deliziosa mansarda vista San Pietro,3613509,Andrea,,I Centro Storico,41.91456,12.46441,Entire home/apt,100,2,0,,,1,312,0,
